facility,service_line,sub_service,ip_op_indicator,med_surg_indicator,demand,date
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,05/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,05/06/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,05/08/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,05/09/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,05/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/12/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,05/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,05/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/16/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,05/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,05/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,05/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,05/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,05/22/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,05/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/30/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,05/31/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,06/01/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,06/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,06/04/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,06/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,06/06/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,06/07/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,06/08/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/09/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,06/12/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,06/14/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,06/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,06/16/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,20,06/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/25/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,06/27/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,06/29/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,06/30/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,07/04/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,07/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,07/07/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,07/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,07/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,07/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,21,07/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,07/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/22/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,07/23/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,07/24/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/25/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,07/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,07/31/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,08/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,08/06/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,08/08/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,17,08/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,08/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,08/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,08/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,08/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,08/29/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/31/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/01/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/04/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,09/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,09/07/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,09/12/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,09/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/16/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,09/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,09/23/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/25/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,09/26/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,10/02/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,10/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,10/08/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/09/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,10/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/16/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,10/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,10/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,10/20/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,10/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,10/31/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,11/02/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,11/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/14/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,11/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/17/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,11/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,11/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,11/22/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,11/24/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,11/27/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,12/03/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/04/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,12/05/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,12/06/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,12/08/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,12/09/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/10/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,12/11/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/13/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,12/14/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/15/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/18/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/19/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/21/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,12/22/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,12/28/2018
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,01/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,01/03/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,01/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,01/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,01/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,01/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,01/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,01/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,01/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,01/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,01/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,01/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,01/24/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,01/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,01/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,01/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,01/31/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,02/02/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,02/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,02/07/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,02/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,02/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,02/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,02/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,02/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,02/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,02/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,02/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,02/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,02/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,02/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,02/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,02/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,03/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,03/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,03/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,03/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,03/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,03/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,03/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,03/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,03/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,03/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,03/22/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,03/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,03/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,03/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,03/31/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,04/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,04/02/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,04/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,04/07/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,04/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,04/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,04/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,04/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,04/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,04/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,04/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,04/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,04/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,04/22/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,04/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,04/24/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,04/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,04/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,04/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/02/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,17,05/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,05/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,05/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,05/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,05/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,05/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,05/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,17,06/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,06/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,06/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,06/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,06/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,06/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,06/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,06/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,06/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,06/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,07/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,07/07/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,17,07/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,07/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,07/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,07/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,07/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,07/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,07/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,07/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,07/22/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,07/24/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,07/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,07/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,07/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,15,07/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/02/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,08/03/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,08/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,08/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,08/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,08/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,08/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,08/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,08/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,08/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,08/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,08/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,08/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,09/03/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/07/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,09/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,09/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,09/24/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,09/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,09/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/03/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,10/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,13,10/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,10/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,5,10/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,10/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/15/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,10/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,10/21/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/22/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,10/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/24/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,10/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,10/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,10/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,14,10/31/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,11/01/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,11/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,4,11/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,11/09/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,9,11/14/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,18,11/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/22/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,20,11/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/26/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,11/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,11/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/29/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,11/30/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,12/02/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,19,12/03/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,12/04/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,12/05/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,12/06/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,12/08/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,3,12/10/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/11/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/12/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,7,12/13/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/16/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,12/17/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/18/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,10,12/19/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,12,12/20/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,8,12/23/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,11,12/25/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,2,12/27/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,6,12/28/2019
facility1,Cardiac Services,Cardiac Cath,I,SURG,16,12/30/2019
